Matrícula;Cap1;Cap2;Cap3;Prova1;Cap4;Cap5;Cap6;Prova2;Cap7;Cap8;Extra;Prova3
GRR20195142;7,33;4,58;6,25;2,50;6,75;3,50;6,67;2,30;4,33;5;4;0
GRR20194177;7,17;8,88;10,00;NA;5,75;4,33;9,50;0,00;3,33;;;
GRR20194226;9,33;10,00;10,00;9,15;6,33;8,67;10,00;7,80;9;9,17;8,53;10
GRR20196428;4,92;8,75;8,33;4,70;7,00;6,83;10,00;3,50;5;;;1,5
GRR20150449;4,67;7,00;2,92;3,25;NA;NA;1,00;NA;3;;;
GRR20194204;4,67;9,17;10,00;5,00;6,25;0,33;8,25;4,20;;;7,5;2
GRR20194181;9,33;7,83;10,00;5,61;7,50;4,17;9,33;3,00;6;4,17;4,5;1
GRR20196020;7,33;9,17;7,50;10,00;5,75;3,17;9,00;3,00;3,33;7,5;6,57;3
GRR20194159;6,83;10,00;10,00;4,25;3,33;4,17;9,00;5,50;5,17;4,16;4,83;1
GRR20194284;9,33;6,17;8,33;2,30;6,25;5,83;10,00;3,00;6,67;5,42;;0,5
GRR20196427;3,33;3,54;9,17;NA;5,25;NA;NA;NA;;;;
GRR20196429;5,92;7,67;10,00;10,00;6,58;0,33;9,33;3,00;4;2,5;7,71;0,5
GRR20194165;5,67;6,67;9,17;1,25;4,00;2,17;10,00;3,00;6,83;5,42;;0
GRR20194246;5,83;8,75;10,00;10,00;NA;3,33;8,00;3,00;4,53;8,75;5,33;3,5
GRR20180923;NA;NA;NA;NA;NA;NA;NA;NA;;;;
GRR20196018;3,67;9,17;8,75;1,00;5,83;5,50;5,83;3,00;6,33;3,75;4,83;0
GRR20194262;9,33;7,25;7,08;6,25;6,50;5,17;8,50;9,50;9,33;8,75;7,66;10
GRR20160164;NA;NA;NA;NA;NA;NA;NA;NA;;;;
GRR20194212;7,33;8,13;10,00;5,50;7,00;NA;10,00;3,00;5,83;3,75;4,33;5
GRR20180817;4,17;2,50;2,50;2,08;4,00;NA;8,00;0,50;;;;
GRR20194289;9,33;8,88;9,17;3,50;3,00;3,33;8,00;3,70;3,34;5;7,05;3
GRR20194217;8,33;8,13;10,00;10,00;5,00;4,67;8,67;3,00;5,66;3,75;4,5;5
GRR20194220;9,33;7,92;8,75;3,80;4,00;7,00;9,50;3,50;8,33;5;;0
GRR20194202;9,33;8,54;10,00;NA;NA;NA;NA;NA;;;;
GRR20194188;7,00;7,21;7,92;2,00;5,50;5,50;10,00;7,80;7,77;6,67;;0
GRR20194186;5,83;6,67;9,17;10,00;6,75;2,17;8,50;3,50;8;9,17;4;5
GRR20194179;7,17;8,67;10,00;10,00;8,00;5,17;5,92;1,30;4,67;3,75;4,83;6
GRR20195680;5,50;6,67;9,17;10,00;5,33;2,67;3,58;3,00;4,33;5;4,33;4,5
GRR20196028;0,00;5,83;9,17;6,25;4,83;2,00;6,00;3,00;2;2,5;5;0,5
GRR20194263;6,83;7,50;7,92;10,00;6,75;4,83;9,00;3,00;4,33;5;6,76;3
GRR20196430;5,83;7,50;5,83;2,08;8,67;5,17;7,25;3,00;4;3,33;6,5;1
GRR20164259;3,50;0,83;2,92;1,25;4,25;4,83;6,42;0,50;5,17;;;
GRR20177002;NA;NA;NA;NA;NA;NA;NA;NA;;;;
GRR20196426;7,67;8,75;7,08;2,50;5,00;6,33;NA;1,00;5,34;;;0
GRR20194303;8,33;6,17;8,33;7,25;5,50;2,50;10,00;3,00;4;;;0
GRR20196463;NA;NA;NA;NA;NA;NA;NA;NA;;;;
GRR20180821;4,42;1,50;3,33;1,25;2,00;0,67;1,50;0,20;;;;
GRR20194669;8,33;8,17;7,50;2,25;4,00;8,50;9,00;3,50;;;;
GRR20196037;6,83;8,13;9,17;8,33;4,83;2,67;8,75;2,50;4;7,92;4;4
GRR20180842;8,33;3,25;7,08;4,58;4,50;NA;9,33;4,50;4,53;6,67;;1
GRR20194195;7,67;9,00;10,00;10,00;6,58;3,33;7,50;2,50;6,66;4,17;;5
GRR20194164;NA;NA;NA;NA;NA;NA;NA;NA;;;;
GRR20186285;NA;5,25;8,33;3,75;6,25;NA;NA;0,00;;;;
GRR20196017;7,33;6,25;10,00;10,00;3,33;1,33;9,00;3,00;4;2,5;6,73;4
GRR20199926;5,67;7,92;10,00;1,75;6,75;NA;8,00;2,00;;;;0
GRR20194167;9,33;8,75;4,17;2,05;6,25;2,67;0,50;2,50;5,33;;;0
GRR20184960;6,50;5,42;5,42;4,81;5,50;5,33;5,50;3,00;;4,17;4,4;0,5
GRR20196422;6,58;10,00;10,00;7,15;7,75;4,50;7,75;6,20;;7,5;8,13;2,5
GRR20164325;4,50;7,50;4,58;6,15;3,58;0,67;NA;2,2;5,8;5;4,33;1
GRR20194232;9,33;10,00;6,67;3,15;6,25;6,67;9,25;3,00;3,67;5,84;;1
GRR20194222;4,42;7,50;8,75;3,65;8,25;7,67;10,00;3,50;4,67;2,5;;0,5
GRR20194219;7,58;6,58;10,00;2,15;3,50;1,00;8,50;3,00;5,33;5,83;;1
GRR20194291;7,67;3,04;9,17;10,00;2,33;3,00;4,00;4,00;5,33;7,08;;2
GRR20194282;5,33;4,38;5,83;3,25;5,50;7,00;7,50;4,80;5,8;6,25;4,52;0,5
GRR20154535;5,67;NA;0,83;NA;3,25;6,33;NA;NA;;;;
GRR20194897;8,67;7,33;9,17;1,25;4,00;4,50;8,50;3,00;4,33;5;4,33;0
GRR20196989;4,50;7,88;7,08;1,25;5,58;NA;9,00;3,00;6;;;0,5
GRR20194161;7,67;5,21;9,17;6,25;4,25;5,33;9,00;3,00;6,17;5;9,2;0
GRR20194178;8,67;8,67;10,00;10,00;4,75;4,50;9,00;3,00;4,93;6,67;6;2,5
GRR20199949;3,33;7,08;9,17;2,73;9,00;4,83;7,58;1,50;3,33;;;1
GRR20186281;3,17;8,75;8,33;3,75;2,33;NA;7,25;2,50;5,17;2,92;;0,5
GRR20194266;7,67;7,42;8,75;2,25;7,00;6,33;9,33;3,00;4;6,25;6,33;1
GRR20195146;8,00;7,92;1,67;2,25;8,50;2,67;9,00;0,20;4,33;3,75;5,33;0,5
GRR20196021;7,00;4,08;8,75;2,05;5,50;5,33;9,33;2,50;4;4,58;;0
GRR20196985;NA;2,50;3,33;4,95;2,83;NA;5,75;2,50;5,33;;;4
GRR20194196;6,67;9,17;9,17;3,69;4,00;NA;9,25;5,70;5,34;9,17;9;6
GRR20194153;8,67;9,50;10,00;8,86;6,00;9,33;10,00;7,30;8;3,75;7,17;3
GRR20194251;4,25;7,00;5,00;2,50;9,25;4,00;10,00;2,50;3,83;3,34;;0,5
GRR20194225;7,67;7,50;7,08;7,50;6,50;4,17;2,83;2,50;6,33;5;4,67;1
GRR20194170;5,33;10,00;8,33;6,60;6,00;5,00;10,00;4,80;6,86;4,17;;2
GRR20194205;7,17;7,00;10,00;0,00;7,50;6,00;8,00;3,50;5,99;7,5;6;3
GRR20194302;NA;5,00;9,17;3,25;4,67;4,33;10,00;1,00;;;;0
GRR20194231;8,67;6,88;8,33;3,33;3,50;2,17;NA;NA;;;;
GRR20186276;2,00;10,00;5,83;3,13;6,50;NA;2,25;3,50;4,83;;;
GRR20181681;4,92;5,13;7,08;2,75;7,00;4,33;6,33;1,00;3,2;7,09;;
GRR20194168;5,67;7,50;9,17;10,00;6,25;3,17;9,50;4,70;4,99;6,25;;5
GRR20194166;7,83;6,04;7,92;7,76;6,50;2,33;8,83;3,00;7,67;7,5;5,34;5
